1,转发微博@微公益 【抗击肺炎 驰援捐助！微公益行动日报】截至3月22日24点，超过189万人通过@微公益 平台捐款5313万元，新浪抗击肺炎专项基金为3个项目配捐2026万元。5.1万名医生参与在线义诊，165万人次受益。453家企业捐出99.33亿元款物并通过微博公示。7003万人主动传播公益信息，被阅读364亿次。抗击疫情，公益在行动！[武汉加油]更多信息请关注#抗击新型肺炎我们在行动# 及行动页面：http://t.cn/A6PIOIhb
2,//@Bruce_Segal:感谢//@LKiKAi__://@椰子A姬E子两手抓: //@上炎: 谢谢//@水果君: [泪]//@暴烈甜心小鳄鱼毛毛:女人，女人//@neverwanted:you see see，上前线冲在前面的是谁，捐献冲在前面的是谁。是顶天立地好嘛，不是顶半边天！@中国妇女报 #逆行中的她们# 【谢谢！#金银潭医院迎首位自愿献血者#】今天下午两点左右，新冠肺炎康复者施女士来到武汉市金银潭医院，在与医护人员沟通，并填写完相关资料后，两点半开始捐血。她是首位前往金银潭医院自愿捐血的康复患者。施女士2月5日确诊新冠肺炎，从武汉市第八医院转到金银潭医院接受治疗，2月9日治愈出院。她的爸爸于2月3日确诊，目前仍在金银潭医院接受治疗。她看到金银潭医院院长张定宇呼吁：“恳请康复后的患者积极来到医院，伸出胳膊，捐献血浆，共同拯救还在与病魔作斗争的病人”的新闻后，决定来医院捐血浆。目前，包括研究机构、医院呼吁：新冠肺炎康复者年龄在18-60周岁，确诊感染过新型冠状病毒，出院后目前身体状况较好，没有其他不适，并愿意捐献出自己的血浆帮助他人，可携带本人身份证和出院小结联系血浆捐献点献血浆，帮助更多患者。http://t.cn/A6htzYSn
3,转发微博@双流网 #全国确诊新型肺炎病例# 1月24日，成都市双流区应天寺管委会发出通知：除夕起暂停对外开放。 ??
4,转发微博@王俊凯微吧 #王俊凯[超话]##跟着王俊凯益起来# 目前，新型肺炎疫情防控已进入严峻的阻击战，湖北省是疫情防控核心区。1月24日 微吧发起首次向官方机构捐款的粉丝号召，至项目结束，不到3小时共计募捐金额143891元。目前疫情发展形式严峻，湖北省各市医院医用物资依然紧缺，一方有难八方支援，我们相信机构能够更快速地采购到合格的医用物资。现微吧第二次发起#王俊凯粉丝公益日# 一起捐行动，参与由@湖北省慈善总会 官方公众号发起的【慈善募捐湖北省慈善总会新型冠状病毒感染的肺炎疫情防控专项募捐公益宝】项目，让我们继续为爱奉献，#跟着王俊凯益起来# ！「爱心一起捐链接」：?http://t.cn/A6Px5fGF ，或识别图中二维码参与捐款（支付宝与微信均可，微信支付需将图片分享到微信后再识别参与捐款）让我们一起努力把病毒战胜之后，再开始我们新的生活?。同时请大家积极做好自我防护，对自己负责，对社会负责，中国加油[加油]！http://t.cn/Ai1dvtSc
5,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈@地瓜熊老六 【台商从武汉返回高雄嫖娼，恐感染多人[允悲]】台湾省一位50多岁台商，20日在武汉出现症状，吃降温药后，21日晚间6点从武汉飞到高雄，22日外出早餐，中午到高雄某医院皮肤科看病，确诊后，下午到金芭黎舞厅找小姐玩。金巴黎某小姐与他接触后，昨天凌晨3点多，出现呼吸困难、咳嗽等症状，打电话逼问台商，台商才承认自己得了新型肺炎。台卫生局重新统计，该台商接触过的舞客及朋友约20人、当天上班小姐200多人，皮肤科9人，捷运列车还无法统计……
6,?//@张皮皮的小福尼:0315-1234[可怜]//@UnicornLay_张艺兴打榜基地:#我为家乡医疗队打call##张艺兴[超话]#和大使张艺兴一起为奋战在一线的白衣天使们加油@努力努力再努力x //@努力努力再努力x:辛苦了 奋战在一线的白衣战士们 希望你们在和病毒对抗的同时 也千万保护好自己 加油 盼早日平安归来@央视新闻 #我的同乡英雄#【战“疫”路险，“湘”互扶持！方能共克时艰！】转起！为湖南医疗队打call！点击→ http://t.cn/A6hu1K3r ??
7,活到老学到老 这个冠状病毒其实也并没有那么可怕嘛 对吧[并不简单]//@旺仔是我:回形针牛逼 http://t.cn/A6PO25zQ@回形针PaperClip Sp.005【 关于新冠肺炎的一切 】这场突然爆发的新型冠状病毒肺炎是如何发生和传播的？死亡率和传播速度有多高？如何降低被感染的可能性？在这支视频中，我们会试图回答你我关心的一切问题。*关注我们的微博，在私信回复「肺炎」，可获取本期视频的文字稿和引用资料。 http://t.cn/A6P0kfDb ??
8,很好的啊!非常好@广州生活微资讯 【#钟南山的无座车票#：临时接到通知赶往武汉，两天后拉响病毒人传人警报】3月18日，广州市疫情防控新闻通气会上，展示了钟南山院士的无座车票。这张票是1月18日从广州开往武汉的无座高铁票，当天钟南山从深圳抢救完相关病例回到广州，下午临时接到通知赶往武汉，被安排在餐车上。两天后，钟南山拉响警报，肯定新冠肺炎存在人传人。一手Video http://t.cn/A6znKCwQ
9,我牛??[求关注][求关注][求关注]@羽生结弦资讯台 【赛事-2020FCC】2020年2月4日-9日，羽生结弦出战四大洲锦标赛（韩国?首尔）。赛程详情见图1——2020FCC——?自身首个四大洲锦标赛冠军?短节目破世界纪录，自身第19个世界纪录?实现ISU主要国际大赛（奥运，世锦，总决赛，四大洲）全满贯?达成职业生涯（青年组总决赛，世青赛，成年组四大洲，成年组总决赛，世锦赛，奥运会）超级满贯，是男子单人滑项目历史上第一位也是唯一一位超级满贯获得者———————①比赛时间（北京时间）?短节目/SP：2月7日（周五）晚17:05-20:55?自由滑/FS：2月9日（周日）早10:30-14:25?表演滑/GALA：2月9日（周日）晚16:30-19:00②正式训练/OP（北京时间）?4日OP：12:35-13:15(MR)，17:25-18:05(PR)?5日OP：09:25-10:05(PR)，14:15-14:55(MR)?6日OP：12:30-13:10(PR)?SP比赛当日OP：http://t.cn/A6PNoaPk ?FS比赛前日OP：http://t.cn/A6PNoa74 ?FS比赛当日OP：http://t.cn/A6PNoaAS ③出场顺序抽签?SP：http://t.cn/A6PNoaLJ ~?FS：http://t.cn/A6PNoayS ~④直播信息：?电视直播：CCTV5将直播男单全部比赛及表演滑?清流直播：央视体育APP（见图6）、ISU油管频道将全程直播⑤刷分网址：http://t.cn/A6vKDA6m⑥资讯台提醒大家在疫情期间，请尽量减少外出、勤洗手多通风、在家观看比赛、做好防护工作。如果前往现场观赛，请务必在比赛期间：?【时刻戴好口罩】【勤洗手】【不要聚会】?【勿打扰、蹲守及围堵选手】?文明观赛，比赛开始请立即保持安静?出行请切记保管好自身财物
10,[害羞]//@貓咪奶茶工://@王俊凯的秋名山车神队:#王俊凯[超话]# 向英雄们致敬，谢谢你们，你们辛苦了//@TFBOYS-王俊凯:感谢英雄们的辛苦付出，回家好好休息@央视新闻 #支援湖北医疗队开始撤离#【转发！#谢谢你为湖北拼过命#[心]】 ? ??
